conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username;,processed_tweet
1857899061199909275,Sat Nov 16 21:30:28 +0000 2024,2.0,Harusnya Bertugas Perangi Judi Online Pegawai Komdigi Justru Jadi Bandar dan Cegah Situs-situs agar Tak Terblokir https://t.co/msVWdSjBx4,1.857899061199909e+18,,,in,,0.0,0.0,0.0,https://x.com/VIVAcoid/status/1857899061199909275,41730943.0,VIVAcoid;,bertugas perangi judi online pegawai komdigi bandar cegah situs situs terblokir
1857892877550198902,Sat Nov 16 21:05:54 +0000 2024,1.0,DPO Kasus Judi Online yang Libatkan Pegawai Komdigi Bertambah jadi 6 Ada yang Bandar https://t.co/lyHBmA6zpi,1.8578928775501988e+18,,,in,,0.0,0.0,0.0,https://x.com/VIVAcoid/status/1857892877550198902,41730943.0,VIVAcoid;,dpo judi online libatkan pegawai komdigi bertambah 6 bandar
1857892012869169226,Sat Nov 16 21:02:28 +0000 2024,0.0,Peran 3 DPO yang Baru Ditangkap Polda Metro Jaya terkait Kasus Judi Online di Komdigi - https://t.co/RQoGmPc2zJ #viral #fyp #x #reader #indonesia https://t.co/0kc9NUOgeN SEMANGGI - Subdit Jatanras Ditreskrimum Polda Metro Jaya telah menangkap tiga p... https://t.co/3uaNlTltJl,1.857892012869169e+18,https://pbs.twimg.com/media/GciO8IYaMAAvsZh.jpg,,in,,0.0,0.0,0.0,https://x.com/hatiapi/status/1857892012869169226,1.8182449812719532e+18,hatiapi;,peran 3 dpo ditangkap polda metro jaya terkait judi online komdigi viral fyp x reader indonesia semanggi subdit jatanras ditreskrimum polda metro jaya menangkap p
1857887166837436449,Sat Nov 16 20:43:13 +0000 2024,0.0,3 DPO Bandar Judi Online Komdigi Kembali Dibekuk Total Tersangka Jadi 22 Orang https://t.co/wW9llkCRtZ,1.8578871668374364e+18,,,in,,0.0,0.0,0.0,https://x.com/VIVAcoid/status/1857887166837436449,41730943.0,VIVAcoid;,3 dpo bandar judi online komdigi dibekuk total tersangka 22 orang
1857714355846238536,Sat Nov 16 18:27:03 +0000 2024,0.0,@DedynurPalakka Mending usia TK SD itu ditanamkan ilmu budi pekerti dan etika..sehingga nanti generasi ke depannya tdk ada lagi yg berperilaku seperti Fufufafa.. kalo koding para pelaku judol komdigi itu jago koding semua..,1.8578528991137096e+18,,DedynurPalakka,in,,0.0,0.0,0.0,https://x.com/johawde/status/1857852899113709728,1.846015449034904e+18,johawde;,mending usia tk sd ditanamkan ilmu budi pekerti etika generasi depannya tdk yg berperilaku fufufafa kalo koding pelaku judol komdigi jago koding
"1857798037235814510,Sat Nov 16 17:01:11 +0000 2024,1,@RadioElshinta Semua ini hanya untuk menanggapi laporan masyarakat yang jadi korban judol Yang penting Menkominfo yang baru @meutya_hafid ada kerjaan Oiya sekarang dah ganti nama jadi komdigi ,1857831293305892879,,RadioElshinta,in,""Bandung, Jawa Barat"",0,0,0,https://x.com/odink_ozbourne/status/1857831293305892879,121746056,odink_ozbourne;",,,,,,,,,,,,,,,
1857823621064126870,Sat Nov 16 16:30:42 +0000 2024,0.0,Bagaimana respon komdigi,1.857823621064127e+18,,,in,wandenreich,0.0,0.0,0.0,https://x.com/ullquiorrac/status/1857823621064126870,1.7421377385798656e+18,ullquiorrac;,respon komdigi
1857823579687235810,Sat Nov 16 16:30:32 +0000 2024,0.0,Polisi Kembali Tangkap 3 DPO Kasus Judi Online Komdigi Total 22 Tersangka Diamankan https://t.co/ZTum2kXRCI,1.857823579687236e+18,,,in,indonesia bogor jawa barat,0.0,0.0,0.0,https://x.com/redaksihsb/status/1857823579687235810,1.5621443299423232e+18,redaksihsb;,polisi tangkap 3 dpo judi online komdigi total 22 tersangka diamankan
1857813958339735909,Sat Nov 16 15:52:18 +0000 2024,0.0,3 DPO Pegawai Komdigi Terlibat Judi Online Ditangkap Polisi https://t.co/1d4S8xcOz4 via @Indopolitika,1.857813958339736e+18,,,in,Indonesia,0.0,0.0,0.0,https://x.com/Indopolitika/status/1857813958339735909,1645980546.0,Indopolitika;,3 dpo pegawai komdigi terlibat judi online ditangkap polisi via
1857810760111632888,Sat Nov 16 15:39:36 +0000 2024,16.0,Polda Metro Tangkap Tiga DPO Kasus Judi Online Libatkan Pegawai Komdigi https://t.co/KqiZR4XCuU,1.857810760111633e+18,,,in,,0.0,3.0,14.0,https://x.com/OposisiCerdas/status/1857810760111632888,8.87743587579945e+17,OposisiCerdas;,polda metro tangkap dpo judi online libatkan pegawai komdigi
1857810131913945588,Sat Nov 16 15:37:06 +0000 2024,0.0,Tangkap 3 Buron Kasus Situs Judol Komdigi Polisi Sita Uang Rp 600 Juta https://t.co/bWf6SYYmCW,1.8578101319139456e+18,,,in,,0.0,0.0,0.0,https://x.com/FBN_Net/status/1857810131913945588,1.112363743243952e+18,FBN_Net;,tangkap 3 buron situs judol komdigi polisi sita uang rp 600 juta
1857808397535686705,Sat Nov 16 15:30:13 +0000 2024,69.0,Peran Tiga Tersangka Baru Kasus Judi Online Oknum Komdigi Kelola Web Agar Tidak Diblokir! https://t.co/GETAkQttPZ,1.857808397535687e+18,,,in,Indonesia,1.0,3.0,42.0,https://x.com/geloraco/status/1857808397535686705,3319260420.0,geloraco;,peran tersangka judi online oknum komdigi kelola web diblokir
1857807172605981121,Sat Nov 16 15:25:20 +0000 2024,5.0,Polda Metro Jaya Tangkap 3 Buronan Kasus Judi Online Komdigi https://t.co/mbfgRbJZWm,1.8578071726059807e+18,,,in,,0.0,2.0,0.0,https://x.com/CNNIndonesia/status/1857807172605981121,17128975.0,CNNIndonesia;,polda metro jaya tangkap 3 buronan judi online komdigi
1857806822138327161,Sat Nov 16 15:23:57 +0000 2024,1.0,Polisi Sita Rp600 Juta dari Tiga DPO Tersangka Judi Online Libatkan Pegawai Komdigi https://t.co/c3BLrKnsDW,1.857806822138327e+18,,,in,Indonesia,0.0,1.0,0.0,https://x.com/geloraco/status/1857806822138327161,3319260420.0,geloraco;,polisi sita rp600 juta dpo tersangka judi online libatkan pegawai komdigi
"1857806320054727111,Sat Nov 16 15:21:57 +0000 2024,0,Tiga pemilik situs judi online ditangkap polisi. Mereka diduga terlibat dalam sindikat pegawai Komdigi. Penyidik akan menelusuri aset para tersangka. #Metro #AdadiKompas https://t.co/LZUuTkuScW,1857806320054727111,,,in,""Palmerah Selatan, Jakarta"",0,0,0,https://x.com/KompasKlasika/status/1857806320054727111,155456716,KompasKlasika;",,,,,,,,,,,,,,,
1857806256603529381,Sat Nov 16 15:21:42 +0000 2024,11.0,Polda Metro Tangkap Tiga DPO Kasus Judi Online Libatkan Pegawai Komdigi https://t.co/6zy5F8nsAa,1.8578062566035292e+18,,,in,Indonesia,0.0,0.0,6.0,https://x.com/geloraco/status/1857806256603529381,3319260420.0,geloraco;,polda metro tangkap dpo judi online libatkan pegawai komdigi
1857800798710923375,Sat Nov 16 15:00:01 +0000 2024,1.0,Komdigi Paparkan Peran Indonesia Bagi Negara Asia-Afrika untuk Persoalan Global https://t.co/8q6AUrKOBc,1.8578007987109235e+18,,,in,Jakarta,0.0,0.0,0.0,https://x.com/okezonenews/status/1857800798710923375,47274731.0,okezonenews;,komdigi paparkan peran indonesia negara asia afrika global
1857800796722647090,Sat Nov 16 15:00:00 +0000 2024,1.0,Menteri Komdigi Meutya Hafid Sepakat Coding Masuk Kurikulum Sekolah Dasar dan Menengah https://t.co/bd70USpdux,1.857800796722647e+18,,,in,Indonesia,0.0,0.0,4.0,https://x.com/politiknesiacom/status/1857800796722647090,1953620240.0,politiknesiacom;,menteri komdigi meutya hafid sepakat coding masuk kurikulum sekolah dasar menengah
"1857697622443643181,Sat Nov 16 14:59:16 +0000 2024,0,@VIVAcoid Paling yg di tangkap kroco ye donk kalau bandar besar ye mah dilindungi dah blm lg pejabat2 komdigi penegak hukum legislatif yg terlibat di umpetin,1857800611376542023,,VIVAcoid,in,""Depok, Jawa Barat"",0,0,0,https://x.com/taqien19/status/1857800611376542023,819795015585042432,taqien19;",,,,,,,,,,,,,,,
1857799792623235295,Sat Nov 16 14:56:01 +0000 2024,31.0,Akhir Pekan Tiga DPO Kasus Judol Jaringan Komdigi Ditangkap https://t.co/S7490cQOc6,1.8577997926232356e+18,,,in,,0.0,2.0,18.0,https://x.com/OposisiCerdas/status/1857799792623235295,8.87743587579945e+17,OposisiCerdas;,pekan dpo judol jaringan komdigi ditangkap
"1857794693439840392,Sat Nov 16 14:35:45 +0000 2024,0,Polda Metro Tangkap Lagi Tiga Buronan Judi Online Komdigi https://t.co/HhxhOr8FgI,1857794693439840392,,,in,""Bogor, Indonesia"",0,0,0,https://x.com/MediaVoi/status/1857794693439840392,1578222594,MediaVoi;",,,,,,,,,,,,,,,
1857785925809606975,Sat Nov 16 14:00:55 +0000 2024,0.0,SMSI Usulkan Penyempurnaan Penataan Masyarakat Pers Indonesia Satu Pintu Di Komdigi https://t.co/UFx378OoBU,1.857785925809607e+18,,,in,,0.0,1.0,0.0,https://x.com/FBN_Net/status/1857785925809606975,1.112363743243952e+18,FBN_Net;,smsi usulkan penyempurnaan penataan masyarakat pers indonesia pintu komdigi
1857782689895690552,Sat Nov 16 13:57:23 +0000 2024,1.0,@anandarazzaqy ngga ko kominfo baik mantap komdigi,1.8577850351491607e+18,,anandarazzaqy,in,,0.0,0.0,0.0,https://x.com/15frpramudya/status/1857785035149160820,1.834246325116027e+18,15frpramudya;,ngga ko kominfo mantap komdigi
